"Column0","ÝLAN ADI","MAHALLE","FÝYAT","NET(m²)","BRÜT(m²)","ODA-SALON SAYISI","ODA SAYISI","SALON SAYISI","BANYO SAYISI","FOTOÐRAF SAYISI","BÝNA KAT SAYISI","BULUNDUÐU KAT","YAPI DURUMU","ISITMA","BÝNA YAÞI","AÝDAT","KÝRA GETÝRÝSÝ","Metrekare Baþýna Fiyat"
67,"KIRACILI BOSTANCI KOCAYOL CAD. HABITAT POINT 4+1 HAVUZLU 150 M2","Bostancý",6.79934054945358,128,150,"4+1",4,1,2,12,"9","2",,"Klima","6-10 ",900,15,0.053119848042606096
68,"GÖZTEPE'DE YATIRIMLIK SATILIK DAÝRE","Göztepe",6.75966784468963,85,90,"2+1",2,1,1,15,"8","1",,"Kombi (Doðalgaz)","36-40 ",,,0.07952550405517211
69,"GÖZTEPE BAÐDAT CAD.YÜRÜME MESAFESÝN DE SATILIK 4+1 DAÝRE!!","Göztepe",6.812913356642856,130,165,"3+1",3,1,3,29,"4","2","Ýkinci El","Kombi (Doðalgaz)","6-10 ",,,0.05240702582032966
70,"Planet Emlak'tan Acýbadem Caddesi Betül Sokakta 3+1 Daire","Acýbadem",6.707570176097936,110,120,"3+1",3,1,1,24,"6","1",,"Merkezi Sistem","31-35 ",0,0,0.06097791069179942
71,"Fenerbahçe Kalamýþ Wyndham Otel Yakýn Yüzme Havuzlu 4+1","Fenerbahçe",7.041392685158225,160,200,"4+1",4,1,2,21,"10-20 ","10","Ýkinci El","Merkezi Sistem","21-25 ",0,0,0.04400870428223891
72,"SATILIK SUADÝYE GENÇ BÝNADA MÝMARÝ NÝTELÝÐÝ YÜKSEK 4+1 DAÝRE","Suadiye",7.30102999566398,200,240,"4+1",4,1,2,31,"10-20 ","10",,"Kombi (Doðalgaz)","21-25 ",,,0.036505149978319905
73,"TURYAP'TAN MERDÝVENKÖY DR.ERKÝN CADDESÝNDE SATILIK 3+1 DAÝRE","Merdivenköy",6.544068044350275,100,130,"3+1",3,1,1,31,"5","5","Ýkinci El","Merkezi Sistem","31-35 ",750,0,0.06544068044350275
74,"TURYAP'TAN MERDÝVENKÖY'DE NEZÝH BÝR SOKAKTA SATILIK 3+1 DAÝRE","Merdivenköy",6.720159303405956,90,120,"3+1",3,1,2,22,"10-20 ","8","Ýkinci El","Klima","3",0,0,0.07466843670451062
75,"ALKAYA'DAN SUADÝYE'DE 3+1 SATILIK DAÝRE-BALKONLU-ÇÝFT BANYOLU","Suadiye",6.824451270036612,95,125,"3+1",3,1,2,30,"9","3",,"Klima","3",0,0,0.07183632915828012
76,"ALKAYA'DAN KOZYATAÐI'NDA SATILIK BALKONLU DAÝRE 110 M² NET 3+1","19 Mayýs",6.763427993562937,110,135,"3+1",3,1,2,31,"10-20 ","7",,"Klima","6-10 ",0,0,0.06148570903239033
77,"ALKAYA'DAN GÖZTEPE'DE MARMARAYA YAKIN 85M² NET 2+1 SATILIK DAÝRE","Göztepe",6.511883360978874,85,110,"2+1",2,1,2,31,"3","2",,"Merkezi Sistem","31-35 ",0,0,0.07661039248210441
78,"ALKAYA'DAN SUADÝYE ÞAÞKINBAKKAL'DA SATILIK 3+1 DAÝRE- 120 M² NET","Suadiye",6.916453948549925,120,145,"3+1",3,1,2,31,"9","7",,"Klima","31-35 ",0,0,0.057637116237916036
79,"ALKAYA-SUADÝYE'DE BAÐDAT'A 250 METRE 2+1 SATILIK BALKONLU DAÝRE","Suadiye",6.716003343634799,60,85,"2+1",2,1,1,29,"8","7",,"Klima","4",0,0,0.11193338906057998
80,"ALKAYA / SUADÝYE MARMARAYA 3 DK BAÐDAT'A 4 DK SATILIK 1+1 DAÝRE","Suadiye",6.612783856719735,55,70,"1+1",1,1,1,31,"3","2",,"Klima","3",0,0,0.12023243375854063
81,"ALKAYA'DAN SUADÝYE'DE SÝTE ÝÇÝNDE SATILIK 2+1 YENÝ DAÝRE","Suadiye",6.752048447819438,80,110,"2+1",2,1,1,31,"10","1",,"Klima","4",0,0,0.08440060559774297
82,"ALKAYA'DAN SUADÝYE BAÐDAT YAKININDA SATILIK 3+1 LÜKS DAÝRE","Suadiye",6.942008053022313,115,150,"3+1",3,1,2,31,"8","3",,"Klima","21-25 ",0,0,0.06036528741758533
83,"Feneryolu'nda Baðdat Caddesi'ne Çok Yakýn Balkonlu 2+1 Daire","Feneryolu",6.423245873936808,65,85,"2+1",2,1,1,24,"3","1","Ýkinci El","Kombi (Doðalgaz)","36-40 ",0,0,0.09881916729133551
84,"Moda Caferaða'da Sahile Yakýn 3+1 Keyifli Bahçe Katý Daire","Caferaða",6.628388930050311,100,130,"3+1",3,1,1,30,"5","Bahçe katý","Ýkinci El","Merkezi Sistem","31-35 ",0,0,0.06628388930050311
85,"Fenerbahçe Çamlýk Parkýna Cepheli Katta Tek","Fenerbahçe",7.190331698170291,135,175,"3+1",3,1,2,26,"10-20 ","9","Ýkinci El","Kombi (Doðalgaz)","4",0,0,0.0532617162827429
86,"ERENKÖY'DE MÝNÝBÜSE YAKIN 200M2 3 BALKONLU ULTRA LÜKS","Erenköy",6.812579155409046,155,200,"4+1",4,1,2,31,"5","4","Ýkinci El","Merkezi Sistem","26-30 ",,,0.04395212358328417
87,"F.YOLU BAÐDATA 2. BÝNADA 170M2 3 BALKONLU ULTRA LÜKS","Feneryolu",6.841984804590113,140,170,"4+1",4,1,3,30,"4","2","Ýkinci El","Kombi (Doðalgaz)","40 ",,,0.04887132003278652
88,"ALKAYA-SUADÝYE'DE GENÇ BÝNADA 2+1 85M² NET SATILIK DAÝRE","Suadiye",6.694605198933568,85,100,"2+1",2,1,2,24,"6","5",,"Klima","1",0,0,0.07876006116392434
89,"ALKAYA-GÖZTEPE BAÐDAT CAD YAKINI 4+1 ULTRALÜKS SATILIK DAÝRE","Göztepe",6.942008053022313,170,240,"4+1",4,1,2,31,"7","1",,"Klima","26-30 ",450,0,0.040835341488366546
90,"ALKAYA-EMÝNALÝPAÞA CAD. 2.BÝNA 4 YAÞINDA 2+1 80M² SATILIK DAÝRE","Suadiye",6.716003343634799,60,80,"2+1",2,1,1,31,"7","2",,"Klima","4",280,0,0.11193338906057998
91,"ALKAYA- SUADÝYE ÞAÞKINDA SATILIK 105M² NET 3+1 BALKONLU DAÝRE","Suadiye",6.56702636615906,105,130,"3+1",3,1,2,21,"5","2",,"Kombi (Doðalgaz)","31-35 ",0,0,0.06254310824913391
92,"ALKAYA'DAN SUADÝYE ÞAÞKINBAKKAL'DA SATILIK 3+1 DAÝRE- 120 M² NET","Suadiye",6.916453948549925,120,145,"3+1",3,1,2,31,"9","7",,"Merkezi Sistem","31-35 ",0,0,0.057637116237916036
93,"ALKAYA-SUADÝYE SATILIK DENÝZ MANZARALI 3+1 170 M2 ÝSKANLI LÜKS !","Suadiye",6.977494969073035,140,170,"3+1",3,1,2,26,"9","6",,"Kombi (Doðalgaz)","11-15 ",0,0,0.04983924977909311
94,"ALKAYA'DAN SUADÝYE'DE 2001 YAPIMI 115M² NET 3+1 SATILIK DAÝRE","Suadiye",6.942008053022313,115,140,"3+1",3,1,2,27,"8","3",,"Klima","21-25 ",0,0,0.06036528741758533
95,"ALKAYA-BAÐDAT CADDESÝNE 4DK GENÇ BÝNADA 3+1 SATILIK DAÝRE","Suadiye",6.900913067737668,95,130,"3+1",3,1,2,31,"9","4",,"Kombi (Doðalgaz)"," 6-10",0,0,0.07264119018671229
96,"ALKAYA-BAÐDATA YAKIN LÜX HAVUZLU SUADÝYE'DE 3+1 SATILIK DAÝRE","Suadiye",6.861832997657944,94,130,"3+1",3,1,2,31,"10-20 ","12",,"Klima","3",500,0,0.07299822337933984
97,"ALKAYA-FIRSAT/BAÐDAT CADDESÝNE 4.BÝNA/HAVUZLU/160M² NET 4+1 SATI","Suadiye",7.16879202031418,160,200,"4+1",4,1,2,26,"10","2",,"Klima","26-30 ",600,0,0.04480495012696363
98,"ALKAYA- AYÞEKADINDA 100M² 3+1 HAVUZLU SATILIK DAÝRE","Suadiye",6.838534270511868,100,130,"3+1",3,1,2,31,"10-20 ","6",,"Klima","4",0,0,0.06838534270511869
99,"ALKAYA-SUADÝYE GENÇ BÝNADA HAVUZ 4+1 2 OTOPARK SATILIK DAÝRE","Suadiye",7.068185861746161,145,175,"4+1",4,1,3,26,"10-20 ","2",,"Klima","6-10 ",0,0,0.048746109391352835
100,"ALKAYA- CADDEYE 8. BÝNA 2 TERAS 3+2 SATILIK DENÝZ MANZALARI DAÝR","Erenköy",7.077367905284155,175,220,"3+2",3,2,3,31,"10","10",,"Klima","6-10 ",0,0,0.04044210231590946
101,"Merdivenköy Onay Sitesi'nde Kapanmaz Manzaralý Satýlýk 3+1 Daire","Merdivenköy",6.484299839346785,90,120,"3+1",3,1,1,20,"10-20 ","10",,"Merkezi Sistem","21-25 ",200,0,0.07204777599274205
102,"ALKAYA- ERENKÖY'DE GENÇ BÝNADA 4+1 140M² NET SATILIK DAÝRE","Erenköy",6.977723605288847,140,180,"4+1",4,1,3,19,"10-20 ","12",,"Kombi (Doðalgaz)","1",0,0,0.049840882894920335
103,"ALKAYA-KALAMIÞ MARÝNA 3+1 GENÝÞ MUTFAKLI SATILIK DAÝRE","Fenerbahçe",7.077367905284155,105,138,"3+1",3,1,2,19,"9","8",,"Klima","0",0,0,0.0674035038598491
104,"ERENKÖY'DE 220M2 4 YILLIK GÜVENLÝKLÝ DENÝZ GÖREN LÜKS DUBLEKS","Erenköy",7.136720567156407,170,220,"3+2",3,2,3,17,"10-20 ",,"Ýkinci El","Merkezi Sistem","4",,,0.0419807092185671
105,"KADIKÖY MERKEZDE GENÝÞ KULLANIÞLI 4+1 SATILIK DAÝRE","Eðitim",6.4471580313422185,120,150,"4+1",4,1,1,16,"4","4","Ýkinci El","Kombi (Doðalgaz)","31-35 ",0,,0.05372631692785182
